id,title,description,Price,image_link,availability,link
1,Basketball Care Package Stickers,"Turn your delivery into something extraordinary. Our care package sticker kits are printed on sticker paper, come ready to use and require no glue. Our kits are designed specifically for USPS Medium and Large flat rate boxes, but can be used on some UPS, FedEx and other shipping boxes.",9.99,https://cdn.shopify.com/s/files/1/0493/4146/4725/products/il_1588xN.2296818552_pues.jpg?v=1636942548,in stock,https://stickersforcarepackage.com/collections/sports/products/basketball-care-package-stickers
2,Football Care Package Stickers,"Turn your delivery into something extraordinary. Our care package sticker kits are printed on sticker paper, come ready to use and require no glue. Our kits are designed specifically for USPS Medium and Large flat rate boxes, but can be used on some UPS, FedEx and other shipping boxes.",9.99,https://cdn.shopify.com/s/files/1/0493/4146/4725/products/il_1588xN.2133305159_bs71.jpg?v=1636942254,in stock,https://stickersforcarepackage.com/collections/sports/products/football-care-package-stickers
3,Christmas Care Package Stickers- Snowman,"Turn your delivery into something extraordinary. Our care package sticker kits are printed on sticker paper, come ready to use and require no glue. Our kits are designed specifically for USPS Medium and Large flat rate boxes, but can be used on some UPS, FedEx and other shipping boxes.",9.99,https://cdn.shopify.com/s/files/1/0493/4146/4725/products/il_1588xN.3430948470_qnez.jpg?v=1636942316,in stock,https://stickersforcarepackage.com/collections/christmas-care-packages/products/christmas-care-package-stickers-snowman
4,Christmas Care Package Stickers- Stink Stank Stunk,"Turn your delivery into something extraordinary. Our care package sticker kits are printed on sticker paper, come ready to use and require no glue. Our kits are designed specifically for USPS Medium and Large flat rate boxes, but can be used on some UPS, FedEx and other shipping boxes.",9.99,https://cdn.shopify.com/s/files/1/0493/4146/4725/products/il_1588xN.3403095224_gm4f.jpg?v=1636942342,in stock,https://stickersforcarepackage.com/collections/christmas-care-packages/products/christmas-care-package-stickers-snowman
5,Thanksgiving Care Package Stickers- Thankful For You,"Turn your delivery into something extraordinary. Our care package sticker kits are printed on sticker paper, come ready to use and require no glue. Our kits are designed specifically for USPS Medium and Large flat rate boxes, but can be used on some UPS, FedEx and other shipping boxes.",9.99,https://cdn.shopify.com/s/files/1/0493/4146/4725/products/il_1588xN.3405168326_sucm.jpg?v=1636313754,in stock,https://stickersforcarepackage.com/collections/christmas-care-packages/products/christmas-care-package-stickers-snowman
6,Thanksgiving Care Package Stickers- Turkey,"Turn your delivery into something extraordinary. Our care package sticker kits are printed on sticker paper, come ready to use and require no glue. Our kits are designed specifically for USPS Medium and Large flat rate boxes, but can be used on some UPS, FedEx and other shipping boxes.",9.99,https://cdn.shopify.com/s/files/1/0493/4146/4725/products/il_1588xN.3439571127_48sz.jpg?v=1636313446,in stock,https://stickersforcarepackage.com/collections/thanksgiving-care-packages/products/copy-of-thanksgiving-care-package-stickers-turkey
7,Christmas Care Package Stickers- All I Want,"Turn your delivery into something extraordinary. Our care package sticker kits are printed on sticker paper, come ready to use and require no glue. Our kits are designed specifically for USPS Medium and Large flat rate boxes, but can be used on some UPS, FedEx and other shipping boxes.",9.99,https://cdn.shopify.com/s/files/1/0493/4146/4725/products/il_1588xN.3408015054_manf.jpg?v=1636321627,in stock,https://stickersforcarepackage.com/collections/christmas-care-packages/products/christmas-care-package-stickers-all-i-want
8,Christmas Care Package Stickers- Stockings,"Turn your delivery into something extraordinary. Our care package sticker kits are printed on sticker paper, come ready to use and require no glue. Our kits are designed specifically for USPS Medium and Large flat rate boxes, but can be used on some UPS, FedEx and other shipping boxes.",9.99,https://cdn.shopify.com/s/files/1/0493/4146/4725/products/il_1588xN.3461071413_7bok.jpg?v=1636321952,in stock,https://stickersforcarepackage.com/collections/christmas-care-packages/products/christmas-care-package-stickers-tree
9,Open When Letter Labels - Student,"Turn your delivery into something extraordinary. Our care package sticker kits are printed on sticker paper, come ready to use and require no glue. Our kits are designed specifically for USPS Medium and Large flat rate boxes, but can be used on some UPS, FedEx and other shipping boxes.",8.99,https://cdn.shopify.com/s/files/1/0493/4146/4725/products/il_1588xN.3244000632_jcqt.jpg?v=1628355849,in stock,https://stickersforcarepackage.com/collections/college/products/copy-of-open-when-letter-labels-student
10,Open When Letter Labels - Long Distance Relationship,"Turn your delivery into something extraordinary. Our care package sticker kits are printed on sticker paper, come ready to use and require no glue. Our kits are designed specifically for USPS Medium and Large flat rate boxes, but can be used on some UPS, FedEx and other shipping boxes.",8.99,https://cdn.shopify.com/s/files/1/0493/4146/4725/products/il_1588xN.2594021954_2o72.jpg?v=1628355372,in stock,https://stickersforcarepackage.com/collections/long-distance/products/open-when-letter-labels-long-distance-relationship
11,Father's Day Care Package Stickers - Best Dad,"Turn your delivery into something extraordinary. Our care package sticker kits are printed on sticker paper, come ready to use and require no glue. Our kits are designed specifically for USPS Medium and Large flat rate boxes, but can be used on some UPS, FedEx and other shipping boxes.",9.99,https://cdn.shopify.com/s/files/1/0493/4146/4725/products/il_1588xN.2277881618_sdit.jpg?v=1636325417,in stock,https://stickersforcarepackage.com/products/fathers-day-care-package-stickers-best-dad?_pos=2&_sid=192750be5&_ss=r
12,Father's Day Care Package Stickers - Rad Dad,"Turn your delivery into something extraordinary. Our care package sticker kits are printed on sticker paper, come ready to use and require no glue. Our kits are designed specifically for USPS Medium and Large flat rate boxes, but can be used on some UPS, FedEx and other shipping boxes.",9.99,https://cdn.shopify.com/s/files/1/0493/4146/4725/products/il_1588xN.2188278347_59ve.jpg?v=1636325891,in stock,https://stickersforcarepackage.com/products/fathers-day-care-package-stickers-rad-dad?_pos=1&_sid=192750be5&_ss=r
13,Patriotic Care Package Stickers - American Flag,"Turn your delivery into something extraordinary. Our care package sticker kits are printed on sticker paper, come ready to use and require no glue. Our kits are designed specifically for USPS Medium and Large flat rate boxes, but can be used on some UPS, FedEx and other shipping boxes.",9.99,https://cdn.shopify.com/s/files/1/0493/4146/4725/products/il_1588xN.2189157715_jya5.jpg?v=1636472625,in stock,https://stickersforcarepackage.com/collections/long-distance/products/long-distance-care-package-stickers-swole-mate
14,Birthday Care Package Stickers - Comic,"Turn your delivery into something extraordinary. Our care package sticker kits are printed on sticker paper, come ready to use and require no glue. Our kits are designed specifically for USPS Medium and Large flat rate boxes, but can be used on some UPS, FedEx and other shipping boxes.",9.99,https://cdn.shopify.com/s/files/1/0493/4146/4725/products/il_1588xN.2215174716_b0fy.jpg?v=1635465061,in stock,https://stickersforcarepackage.com/collections/birthday/products/birthday-care-package-stickers-comic
15,I Miss You Care Package Stickers - 10 Things,"Turn your delivery into something extraordinary. Our care package sticker kits are printed on sticker paper, come ready to use and require no glue. Our kits are designed specifically for USPS Medium and Large flat rate boxes, but can be used on some UPS, FedEx and other shipping boxes.",9.99,https://cdn.shopify.com/s/files/1/0493/4146/4725/products/il_1588xN.2072633938_eceo.jpg?v=1636404383,in stock,https://stickersforcarepackage.com/collections/long-distance/products/long-distance-care-package-stickers-swole-mate
16,Easter Care Package Stickers - Hoppy Easter,"Turn your delivery into something extraordinary. Our care package sticker kits are printed on sticker paper, come ready to use and require no glue. Our kits are designed specifically for USPS Medium and Large flat rate boxes, but can be used on some UPS, FedEx and other shipping boxes.",9.99,https://cdn.shopify.com/s/files/1/0493/4146/4725/products/il_1588xN.2759570253_a262.jpg?v=1636314286,in stock,https://stickersforcarepackage.com/collections/easter/products/easter-care-package-stickers-hoppy-easter
17,Easter Care Package Stickers - I Love You,"Turn your delivery into something extraordinary. Our care package sticker kits are printed on sticker paper, come ready to use and require no glue. Our kits are designed specifically for USPS Medium and Large flat rate boxes, but can be used on some UPS, FedEx and other shipping boxes.",9.99,https://cdn.shopify.com/s/files/1/0493/4146/4725/products/il_1588xN.2958018629_8vz5.jpg?v=1636314082,in stock,https://stickersforcarepackage.com/collections/easter/products/easter-care-package-stickers-i-love-you
18,Easter Care Package Stickers- I Miss You,"Turn your delivery into something extraordinary. Our care package sticker kits are printed on sticker paper, come ready to use and require no glue. Our kits are designed specifically for USPS Medium and Large flat rate boxes, but can be used on some UPS, FedEx and other shipping boxes.",9.99,https://cdn.shopify.com/s/files/1/0493/4146/4725/products/il_1588xN.2163155755_1rpn.jpg?v=1636313864,in stock,https://stickersforcarepackage.com/collections/easter/products/easter-care-package-stickers-i-miss-you
19,Easter Care Package Stickers,"Turn your delivery into something extraordinary. Our care package sticker kits are printed on sticker paper, come ready to use and require no glue. Our kits are designed specifically for USPS Medium and Large flat rate boxes, but can be used on some UPS, FedEx and other shipping boxes.",9.99,https://cdn.shopify.com/s/files/1/0493/4146/4725/products/il_1588xN.2230918473_3xw8.jpg?v=1636322138,in stock,https://stickersforcarepackage.com/collections/easter/products/easter-care-package-stickers
20,Medical School Care Package Stickers- Survival Kit,"Turn your delivery into something extraordinary. Our care package sticker kits are printed on sticker paper, come ready to use and require no glue. Our kits are designed specifically for USPS Medium and Large flat rate boxes, but can be used on some UPS, FedEx and other shipping boxes.",9.99,https://cdn.shopify.com/s/files/1/0493/4146/4725/products/il_1588xN.2077433440_pmm9.jpg?v=1636425027,in stock,https://stickersforcarepackage.com/collections/medical-school/products/medical-school-care-package-stickers
21,Law School Care Package Stickers,"Turn your delivery into something extraordinary. Our care package sticker kits are printed on sticker paper, come ready to use and require no glue. Our kits are designed specifically for USPS Medium and Large flat rate boxes, but can be used on some UPS, FedEx and other shipping boxes.",9.99,https://cdn.shopify.com/s/files/1/0493/4146/4725/products/il_1588xN.2083231916_odn5.jpg?v=1636331700,in stock,https://stickersforcarepackage.com/collections/law-school/products/law-school-care-package-stickers
22,Law School Care Package Stickers - Books,"Turn your delivery into something extraordinary. Our care package sticker kits are printed on sticker paper, come ready to use and require no glue. Our kits are designed specifically for USPS Medium and Large flat rate boxes, but can be used on some UPS, FedEx and other shipping boxes.",9.99,https://cdn.shopify.com/s/files/1/0493/4146/4725/products/il_1588xN.2450011778_d5ku.jpg?v=1636315203,in stock,https://stickersforcarepackage.com/collections/law-school/products/law-school-care-package-stickers-books
23,Anniversary Care Package Stickers - Hearts,"Turn your delivery into something extraordinary. Our care package sticker kits are printed on sticker paper, come ready to use and require no glue. Our kits are designed specifically for USPS Medium and Large flat rate boxes, but can be used on some UPS, FedEx and other shipping boxes.",9.99,https://cdn.shopify.com/s/files/1/0493/4146/4725/products/il_1588xN.2077383876_e08q.jpg?v=1636321018,in stock,https://stickersforcarepackage.com/collections/long-distance/products/long-distance-care-package-stickers-swole-mate
24,"Long Distance Relationship Care Package Stickers - Sun, Moon & Stars","Turn your delivery into something extraordinary. Our care package sticker kits are printed on sticker paper, come ready to use and require no glue. Our kits are designed specifically for USPS Medium and Large flat rate boxes, but can be used on some UPS, FedEx and other shipping boxes.",9.99,https://cdn.shopify.com/s/files/1/0493/4146/4725/products/il_1588xN.2130639457_7tmy.jpg?v=1636424505,in stock,https://stickersforcarepackage.com/collections/long-distance/products/long-distance-care-package-stickers-sun-moon-stars
25,Long Distance Care Package Stickers - Distance Means Little,"Turn your delivery into something extraordinary. Our care package sticker kits are printed on sticker paper, come ready to use and require no glue. Our kits are designed specifically for USPS Medium and Large flat rate boxes, but can be used on some UPS, FedEx and other shipping boxes.",9.99,https://cdn.shopify.com/s/files/1/0493/4146/4725/products/il_1588xN.2076575910_ori7.jpg?v=1636425629,in stock,https://stickersforcarepackage.com/collections/long-distance/products/long-distance-care-package-stickers-1
26,Fitness Care Package Stickers - Swole Mate,"Turn your delivery into something extraordinary. Our care package sticker kits are printed on sticker paper, come ready to use and require no glue. Our kits are designed specifically for USPS Medium and Large flat rate boxes, but can be used on some UPS, FedEx and other shipping boxes.",9.99,https://cdn.shopify.com/s/files/1/0493/4146/4725/products/il_1588xN.2126245459_oie6.jpg?v=1636424801,in stock,https://stickersforcarepackage.com/collections/long-distance/products/long-distance-care-package-stickers-swole-mate
27,College Finals Care Package Stickers - You Got This,"Turn your delivery into something extraordinary. Our care package sticker kits are printed on sticker paper, come ready to use and require no glue. Our kits are designed specifically for USPS Medium and Large flat rate boxes, but can be used on some UPS, FedEx and other shipping boxes.",9.99,https://cdn.shopify.com/s/files/1/0493/4146/4725/products/il_1588xN.2073694440_pexd.jpg?v=1636320510,in stock,https://stickersforcarepackage.com/collections/college/products/college-care-package-stickers-paper
28,Finals Care Package Stickers - Exam,"Turn your delivery into something extraordinary. Our care package sticker kits are printed on sticker paper, come ready to use and require no glue. Our kits are designed specifically for USPS Medium and Large flat rate boxes, but can be used on some UPS, FedEx and other shipping boxes.",9.99,https://cdn.shopify.com/s/files/1/0493/4146/4725/products/il_1588xN.2159309138_91zi.jpg?v=1636315672,in stock,https://stickersforcarepackage.com/collections/college/products/college-care-package-stickers-exam-brown
29,Graduation Care Package Stickers - 2021,"Turn your delivery into something extraordinary. Our care package sticker kits are printed on sticker paper, come ready to use and require no glue. Our kits are designed specifically for USPS Medium and Large flat rate boxes, but can be used on some UPS, FedEx and other shipping boxes.",9.99,https://cdn.shopify.com/s/files/1/0493/4146/4725/products/il_1588xN.2759614170_n87o.jpg?v=1636328034,in stock,https://stickersforcarepackage.com/collections/long-distance/products/long-distance-care-package-stickers-swole-mate
30,Movie Night Care Package Stickers,"Turn your delivery into something extraordinary. Our care package sticker kits are printed on sticker paper, come ready to use and require no glue. Our kits are designed specifically for USPS Medium and Large flat rate boxes, but can be used on some UPS, FedEx and other shipping boxes.",9.99,https://cdn.shopify.com/s/files/1/0493/4146/4725/products/movie.png?v=1636331303,in stock,https://stickersforcarepackage.com/collections/long-distance/products/long-distance-care-package-stickers-swole-mate
31,College Exam Care Package Stickers,"Turn your delivery into something extraordinary. Our care package sticker kits are printed on sticker paper, come ready to use and require no glue. Our kits are designed specifically for USPS Medium and Large flat rate boxes, but can be used on some UPS, FedEx and other shipping boxes.",9.99,https://cdn.shopify.com/s/files/1/0493/4146/4725/products/il_1588xN.2121287243_aq5o.jpg?v=1636320729,in stock,https://stickersforcarepackage.com/collections/college/products/college-birthday-care-package-stickers-exam-kit
32,College Care Package Stickers,"Turn your delivery into something extraordinary. Our care package sticker kits are printed on sticker paper, come ready to use and require no glue. Our kits are designed specifically for USPS Medium and Large flat rate boxes, but can be used on some UPS, FedEx and other shipping boxes.",9.99,https://cdn.shopify.com/s/files/1/0493/4146/4725/products/il_1588xN.2124347349_nig2.jpg?v=1636322074,in stock,https://stickersforcarepackage.com/collections/college/products/college-birthday-care-package-stickers
33,College Care Package Stickers - Medical,"Turn your delivery into something extraordinary. Our care package sticker kits are printed on sticker paper, come ready to use and require no glue. Our kits are designed specifically for USPS Medium and Large flat rate boxes, but can be used on some UPS, FedEx and other shipping boxes.",9.99,https://cdn.shopify.com/s/files/1/0493/4146/4725/products/il_1588xN.2077397566_gl2r.jpg?v=1636315420,in stock,https://stickersforcarepackage.com/collections/college/products/college-care-package-stickers-medical
34,Long Distance Care Package Stickers - There for You,"Turn your delivery into something extraordinary. Our care package sticker kits are printed on sticker paper, come ready to use and require no glue. Our kits are designed specifically for USPS Medium and Large flat rate boxes, but can be used on some UPS, FedEx and other shipping boxes.",9.99,https://cdn.shopify.com/s/files/1/0493/4146/4725/products/il_1588xN.2124028137_pwl6.jpg?v=1636426585,in stock,https://stickersforcarepackage.com/collections/long-distance/products/copy-of-long-distance-care-package-stickers-there-for-you
35,Care Package Stickers - Sunshine,"Turn your delivery into something extraordinary. Our care package sticker kits are printed on sticker paper, come ready to use and require no glue. Our kits are designed specifically for USPS Medium and Large flat rate boxes, but can be used on some UPS, FedEx and other shipping boxes.",9.99,https://cdn.shopify.com/s/files/1/0493/4146/4725/products/il_1588xN.2180445724_tr7b.jpg?v=1636404133,in stock,https://stickersforcarepackage.com/collections/long-distance/products/long-distance-care-package-stickers-out-of-the-blue
